lead_time_bucket,search_day,flight_count,median_price
0-3,Friday,93742,387.1
0-3,Monday,137634,338.61
0-3,Saturday,103925,359.58
0-3,Sunday,125416,338.61
0-3,Thursday,97211,391.59
0-3,Tuesday,132426,357.6
0-3,Wednesday,115478,370.6
4-7,Friday,166720,350.1
4-7,Monday,134747,384.21
4-7,Saturday,158147,358.6
4-7,Sunday,143940,376.7
4-7,Thursday,164819,351.59
4-7,Tuesday,134921,371.6
4-7,Wednesday,148719,367.1
8-14,Friday,259374,368.6
8-14,Monday,262523,370.7
8-14,Saturday,257515,370.6
8-14,Sunday,263232,372.2
8-14,Thursday,266103,372.6
8-14,Tuesday,257959,373.6
8-14,Wednesday,260592,377.21
15-30,Friday,576972,386.6
15-30,Monday,314256,366.6
15-30,Saturday,500055,386.6
15-30,Sunday,451215,381.7
15-30,Thursday,593836,382.2
15-30,Tuesday,226600,372.6
15-30,Wednesday,490947,387.6
31-60,Friday,869335,362.6
31-60,Monday,722121,359.59
31-60,Saturday,765855,363.6
31-60,Sunday,692986,362.6
31-60,Thursday,942520,368.6
31-60,Tuesday,393503,357.1
31-60,Wednesday,549589,377.2
61+,Friday,0,
61+,Monday,0,
61+,Saturday,0,
61+,Sunday,0,
61+,Thursday,0,
61+,Tuesday,0,
61+,Wednesday,0,
