route,lead_time_bucket,cheapest_search_day,flight_count,median_price,avg_price
ATL-BOS,0-3,Monday,857.0,318.6,350.6598599766628
ATL-BOS,4-7,Thursday,1002.0,318.6,344.84132734530937
ATL-BOS,8-14,Monday,1524.0,318.6,332.150406824147
ATL-BOS,15-30,Monday,1896.0,298.6,302.5548523206751
ATL-BOS,31-60,Friday,4810.0,292.2,310.32187110187107
ATL-BOS,61+,,,,
ATL-CLT,0-3,Friday,418.0,408.6,444.1588755980861
ATL-CLT,4-7,Wednesday,690.0,374.2,400.13269565217394
ATL-CLT,8-14,Friday,1010.0,358.6,370.3366039603961
ATL-CLT,15-30,Monday,844.0,248.6,265.88418246445497
ATL-CLT,31-60,Tuesday,973.0,213.6,247.49120246659814
ATL-CLT,61+,,,,
ATL-DEN,0-3,Monday,475.0,311.58,373.8346315789474
ATL-DEN,4-7,Sunday,530.0,393.815,409.8564528301887
ATL-DEN,8-14,Saturday,1024.0,428.6,432.272412109375
ATL-DEN,15-30,Monday,1317.0,453.1,456.40558086560367
ATL-DEN,31-60,Tuesday,1420.0,398.6,404.210661971831
ATL-DEN,61+,,,,
ATL-DFW,0-3,Monday,495.0,202.6,241.8479797979798
ATL-DFW,4-7,Friday,564.0,241.6,267.3952836879433
ATL-DFW,8-14,Friday,882.0,268.6,298.0231859410431
ATL-DFW,15-30,Tuesday,840.0,268.6,287.12716666666665
ATL-DFW,31-60,Tuesday,1365.0,248.6,272.44851282051286
ATL-DFW,61+,,,,
ATL-DTW,0-3,Monday,618.0,362.2,383.68936893203886
ATL-DTW,4-7,Thursday,794.0,392.21,370.08204030226705
ATL-DTW,8-14,Saturday,1354.0,360.2,347.1821418020679
ATL-DTW,15-30,Monday,1246.0,258.6,264.8376484751204
ATL-DTW,31-60,Tuesday,1489.0,224.1,249.45731363331095
ATL-DTW,61+,,,,
ATL-EWR,0-3,Sunday,473.0,208.58,233.062600422833
ATL-EWR,4-7,Thursday,650.0,191.58,216.8108307692308
ATL-EWR,8-14,Monday,1011.0,191.58,214.88001978239367
ATL-EWR,15-30,Monday,1280.0,223.6,235.5829609375
ATL-EWR,31-60,Sunday,2814.0,226.1,243.8771535181237
ATL-EWR,61+,,,,
ATL-IAD,0-3,Monday,281.0,210.1,296.04042704626335
ATL-IAD,4-7,Monday,271.0,210.1,287.6892988929889
