route,search_day,flight_count,median_price
ATL-BOS,Friday,11304,301.61
ATL-CLT,Saturday,5620,327.6
ATL-DEN,Tuesday,4314,408.6
ATL-DFW,Tuesday,4135,259.6
ATL-DTW,Friday,8566,287.2
ATL-EWR,Tuesday,4680,221.58
ATL-IAD,Tuesday,2318,228.6
ATL-JFK,Tuesday,4332,289.6
ATL-LAX,Tuesday,9806,466.1
ATL-LGA,Saturday,10540,206.61
ATL-MIA,Monday,5754,254.2
ATL-OAK,Tuesday,4308,631.35
ATL-ORD,Monday,6068,268.6
ATL-PHL,Monday,5741,241.58
ATL-SFO,Monday,7295,554.6
BOS-ATL,Thursday,12982,299.35
BOS-CLT,Tuesday,5489,187.2
BOS-DEN,Tuesday,5432,407.6
BOS-DFW,Monday,8367,298.6
BOS-DTW,Monday,7944,268.6
BOS-EWR,Saturday,5146,121.96
BOS-IAD,Tuesday,2662,248.6
BOS-JFK,Friday,8361,148.6
BOS-LAX,Tuesday,9350,437.2
BOS-LGA,Saturday,9765,108.6
BOS-MIA,Tuesday,6750,233.6
BOS-OAK,Tuesday,3312,637.11
BOS-ORD,Tuesday,5810,208.61
BOS-PHL,Thursday,6063,178.6
BOS-SFO,Tuesday,6909,487.2
CLT-ATL,Thursday,7071,343.2
CLT-BOS,Monday,6364,197.11
CLT-DEN,Monday,5103,437.1
CLT-DFW,Monday,9181,307.1
CLT-DTW,Friday,7018,257.1
CLT-EWR,Friday,8521,217.1
CLT-IAD,Monday,2866,184.1
CLT-JFK,Friday,7290,210.1
CLT-LAX,Tuesday,8324,487.09
CLT-LGA,Friday,11888,187.1
CLT-MIA,Monday,7617,262.11
CLT-OAK,Wednesday,2539,743.81
CLT-ORD,Tuesday,5142,223.1
CLT-PHL,Monday,6198,269.1
CLT-SFO,Monday,8030,607.1
DEN-ATL,Tuesday,4501,393.21
DEN-BOS,Tuesday,5300,428.6
DEN-CLT,Tuesday,4214,408.6
DEN-DFW,Monday,4696,203.61
DEN-DTW,Tuesday,3678,408.19
DEN-EWR,Monday,5804,399.6
DEN-IAD,Tuesday,3073,408.6
DEN-JFK,Tuesday,5641,567.21
DEN-LAX,Tuesday,6337,234.59
DEN-LGA,Tuesday,4705,327.6
DEN-MIA,Tuesday,4389,418.6
DEN-OAK,Monday,3903,461.6
DEN-ORD,Monday,5276,362.095
DEN-PHL,Tuesday,4450,427.6
DEN-SFO,Tuesday,4724,272.2
DFW-ATL,Tuesday,4082,259.6
DFW-BOS,Monday,7185,317.58
DFW-CLT,Monday,7658,308.6
DFW-DEN,Monday,4815,251.61
DFW-DTW,Monday,5909,338.6
DFW-EWR,Sunday,7251,314.6
DFW-IAD,Monday,4066,338.6
DFW-JFK,Friday,5464,329.45
DFW-LAX,Tuesday,8701,308.6
DFW-LGA,Saturday,10704,258.6
DFW-MIA,Saturday,9584,283.6
DFW-OAK,Tuesday,4478,547.1
DFW-ORD,Monday,6746,315.59
DFW-PHL,Tuesday,5313,358.6
DFW-SFO,Monday,5284,368.6
DTW-ATL,Friday,8851,276.58
DTW-BOS,Monday,6862,246.6
DTW-CLT,Thursday,7600,248.6
DTW-DEN,Monday,4598,398.6
DTW-DFW,Saturday,6837,338.6
DTW-EWR,Saturday,5839,221.1
DTW-IAD,Tuesday,1861,198.6
DTW-JFK,Monday,4491,337.2
DTW-LAX,Sunday,11960,471.6
DTW-LGA,Friday,8507,181.6
DTW-MIA,Friday,7301,257.6
DTW-OAK,Monday,4591,614.7
DTW-ORD,Tuesday,2414,227.6
DTW-PHL,Monday,4579,307.58
DTW-SFO,Tuesday,5589,551.6
EWR-ATL,Tuesday,4340,221.58
EWR-BOS,Saturday,4871,128.6
EWR-CLT,Saturday,8067,218.6
EWR-DEN,Monday,5892,416.1
EWR-DFW,Tuesday,4616,298.6
EWR-DTW,Friday,6807,237.6
EWR-IAD,Sunday,5033,347.7
EWR-LAX,Tuesday,7744,411.15
EWR-LGA,Saturday,23,158.6
EWR-MIA,Friday,6575,226.6
EWR-OAK,Monday,2759,591.7
EWR-ORD,Monday,7850,238.58
EWR-PHL,Monday,6103,411.6
EWR-SFO,Tuesday,5363,468.61
IAD-ATL,Saturday,3302,228.6
IAD-BOS,Monday,4450,367.85
IAD-CLT,Monday,3246,208.6
IAD-DEN,Monday,4706,475.21
IAD-DFW,Monday,4157,338.61
IAD-DTW,Tuesday,1570,218.6
IAD-EWR,Sunday,5460,338.6
IAD-JFK,Friday,4834,401.1
IAD-LAX,Tuesday,5621,514.21
IAD-LGA,Monday,11603,413.1
IAD-MIA,Sunday,3997,344.61
IAD-OAK,Monday,4139,736.11
IAD-ORD,Monday,4529,311.1
IAD-PHL,Thursday,5299,399.69
IAD-SFO,Tuesday,4635,552.6
JFK-ATL,Sunday,6217,297.1
JFK-BOS,Monday,6585,143.6
JFK-CLT,Friday,7420,218.59
JFK-DEN,Friday,8125,565.6
JFK-DFW,Tuesday,4604,355.21000000000004
JFK-DTW,Tuesday,2928,302.4
JFK-IAD,Friday,4941,396.69
JFK-LAX,Monday,11920,423.61
JFK-MIA,Friday,8010,198.6
JFK-OAK,Monday,2351,598.6
JFK-ORD,Tuesday,7154,492.2
JFK-PHL,Monday,3205,311.6
JFK-SFO,Tuesday,5087,428.6
LAX-ATL,Monday,12620,507.6
LAX-BOS,Tuesday,10394,529.6
LAX-CLT,Monday,11828,534.2
LAX-DEN,Tuesday,6034,280.1
LAX-DFW,Monday,11381,326.6
LAX-DTW,Monday,11662,528.6
LAX-EWR,Tuesday,8699,476.2
LAX-IAD,Tuesday,6820,556.7
LAX-JFK,Monday,12463,493.61
LAX-LGA,Monday,13600,487.6
LAX-MIA,Monday,10230,490.69
LAX-OAK,Monday,4151,387.2
LAX-ORD,Thursday,13578,428.6
LAX-PHL,Tuesday,7723,558.6
LAX-SFO,Tuesday,5412,187.6
LGA-ATL,Saturday,9469,205.11
LGA-BOS,Saturday,9116,123.61
LGA-CLT,Thursday,12653,188.6
LGA-DEN,Monday,5908,338.61
LGA-DFW,Tuesday,7171,228.6
LGA-DTW,Thursday,8272,195.6
LGA-IAD,Friday,13038,398.09
LGA-LAX,Tuesday,10380,444.595
LGA-MIA,Tuesday,6411,208.61
LGA-OAK,Monday,6307,751.69
LGA-ORD,Monday,10124,176.6
LGA-PHL,Sunday,9643,356.69
LGA-SFO,Tuesday,7334,547.6
MIA-ATL,Monday,5575,249.1
MIA-BOS,Saturday,9751,227.58
MIA-CLT,Monday,6948,286.4
MIA-DEN,Tuesday,4082,397.7
MIA-DFW,Monday,9353,268.6
MIA-DTW,Friday,6691,247.61
MIA-EWR,Wednesday,4995,227.6
MIA-IAD,Tuesday,2211,341.11
MIA-JFK,Monday,5687,189.6
MIA-LAX,Monday,8942,397.6
MIA-LGA,Tuesday,5756,202.58
MIA-OAK,Tuesday,1665,737.1
MIA-ORD,Monday,7627,242.58
MIA-PHL,Tuesday,5117,230.6
MIA-SFO,Tuesday,5195,517.6
OAK-ATL,Monday,5365,647.21
OAK-BOS,Monday,4006,731.46
OAK-CLT,Sunday,2925,752.69
OAK-DEN,Friday,5866,468.7
OAK-DFW,Friday,7903,438.6
OAK-DTW,Monday,3987,687.6
OAK-EWR,Tuesday,2279,615.19
OAK-IAD,Monday,3161,711.6
OAK-JFK,Monday,2671,593.98
OAK-LAX,Monday,4161,429.1
OAK-LGA,Monday,5482,761.11
OAK-MIA,Sunday,2847,783.11
OAK-ORD,Monday,4794,541.2
OAK-PHL,Friday,4276,717.1
OAK-SFO,Saturday,5239,407.21
ORD-ATL,Monday,6542,252.61
ORD-BOS,Tuesday,5831,222.59
ORD-CLT,Monday,6872,211.6
ORD-DEN,Friday,5988,348.6
ORD-DFW,Monday,7626,268.6
ORD-DTW,Monday,2919,202.6
ORD-EWR,Sunday,7721,228.6
ORD-IAD,Saturday,5718,301.65
ORD-JFK,Sunday,10105,487.19
ORD-LAX,Sunday,10858,351.6
ORD-LGA,Monday,10502,176.11
ORD-MIA,Monday,7557,239.6
ORD-OAK,Tuesday,2788,541.2
ORD-PHL,Monday,4811,244.6
ORD-SFO,Monday,6105,428.6
PHL-ATL,Tuesday,4518,244.10500000000002
PHL-BOS,Saturday,4898,183.6
PHL-CLT,Monday,6795,238.6
PHL-DEN,Tuesday,4301,436.6
PHL-DFW,Tuesday,5972,305.61
PHL-DTW,Monday,4647,295.11
PHL-EWR,Thursday,8398,400.2
PHL-IAD,Thursday,4948,392.895
PHL-JFK,Sunday,3240,271.9
PHL-LAX,Tuesday,7406,454.61
PHL-LGA,Thursday,11577,334.6
PHL-MIA,Wednesday,6905,228.6
PHL-OAK,Monday,3092,738.6
PHL-ORD,Tuesday,3484,226.595
PHL-SFO,Tuesday,4856,567.6500000000001
SFO-ATL,Monday,7472,581.6
SFO-BOS,Monday,10159,592.6
SFO-CLT,Monday,8269,638.6
SFO-DEN,Monday,7025,357.2
SFO-DFW,Monday,5165,406.59
SFO-DTW,Tuesday,5616,620.73
SFO-EWR,Tuesday,5790,551.61
SFO-IAD,Tuesday,4379,603.61
SFO-JFK,Monday,7054,508.6
SFO-LAX,Tuesday,5257,188.6
SFO-LGA,Monday,10367,631.61
SFO-MIA,Monday,8208,617.2
SFO-OAK,Saturday,4973,407.19
SFO-ORD,Monday,7135,548.2
SFO-PHL,Tuesday,5117,647.61
